Trade #,Type,Signal,Date/Time,Price BRL,Contracts,Profit BRL,Profit %,Cum. Profit BRL,Cum. Profit %,Run-up BRL,Run-up %,Drawdown BRL,Drawdown %
12,Exit Long,TP,2024-04-04 10:54,129345,26,6266.00,0.94,12370.00,24.00,7410.00,1.11,130.00,0.02
12,Entry Long,Buy,2024-04-04 09:58,128140,26,6266.00,0.94,12370.00,24.00,7410.00,1.11,130.00,0.02
11,Exit Long,TP,2024-04-03 14:52,128080,22,3894.00,0.70,6104.00,17.53,4466.00,0.80,286.00,0.05
11,Entry Long,Buy,2024-04-03 13:42,127195,22,3894.00,0.70,6104.00,17.53,4466.00,0.80,286.00,0.05
10,Exit Long,TP,2024-04-03 12:28,126880,21,462.00,0.09,2210.00,2.12,1050.00,0.20,0,0.00
10,Entry Long,Buy,2024-04-03 11:42,126770,21,462.00,0.09,2210.00,2.12,1050.00,0.20,0,0.00
9,Exit Long,TP,2024-04-03 10:14,127680,21,-168.00,-0.03,1748.00,-0.77,903.00,0.17,168.00,0.03
9,Entry Long,Buy,2024-04-03 10:00,127720,21,-168.00,-0.03,1748.00,-0.77,903.00,0.17,168.00,0.03
8,Exit Long,TP,2024-04-02 15:26,127765,21,630.00,0.12,1916.00,2.96,1218.00,0.23,126.00,0.02
8,Entry Long,Buy,2024-04-02 14:50,127615,21,630.00,0.12,1916.00,2.96,1218.00,0.23,126.00,0.02
7,Exit Long,TP,2024-04-02 14:38,127475,20,900.00,0.18,1286.00,4.41,1420.00,0.28,320.00,0.06
7,Entry Long,Buy,2024-04-02 13:26,127250,20,900.00,0.18,1286.00,4.41,1420.00,0.28,320.00,0.06
6,Exit Long,SL,2024-04-01 12:00,127995,20,-320.00,-0.06,386.00,-1.55,40.00,0.01,320.00,0.06
6,Entry Long,Buy,2024-04-01 11:58,128075,20,-320.00,-0.06,386.00,-1.55,40.00,0.01,320.00,0.06
5,Exit Long,SL,2024-03-28 15:42,128565,21,-294.00,-0.05,706.00,-1.40,735.00,0.14,294.00,0.05
5,Entry Long,Buy,2024-03-28 14:38,128635,21,-294.00,-0.05,706.00,-1.40,735.00,0.14,294.00,0.05
4,Exit Long,TP,2024-03-28 12:56,128880,20,340.00,0.07,1000.00,1.65,880.00,0.17,180.00,0.03
4,Entry Long,Buy,2024-03-28 12:24,128795,20,340.00,0.07,1000.00,1.65,880.00,0.17,180.00,0.03
3,Exit Long,SL,2024-03-27 14:50,127605,20,-300.00,-0.06,660.00,-1.43,540.00,0.11,300.00,0.06
3,Entry Long,Buy,2024-03-27 13:28,127680,20,-300.00,-0.06,660.00,-1.43,540.00,0.11,300.00,0.06
2,Exit Long,TP,2024-03-26 13:38,127750,20,440.00,0.09,960.00,2.14,900.00,0.18,0,0.00
2,Entry Long,Buy,2024-03-26 12:46,127640,20,440.00,0.09,960.00,2.14,900.00,0.18,0,0.00
1,Exit Long,TP,2024-03-26 10:34,127340,20,520.00,0.10,520.00,2.60,1360.00,0.27,160.00,0.03
1,Entry Long,Buy,2024-03-26 10:00,127210,20,520.00,0.10,520.00,2.60,1360.00,0.27,160.00,0.03
